Item,Qty,Unit Price,Date Acquired,Job ID,Group,Runs,ME
Cartesian Temporal Coordinator,1,7212.57,2016-06-10,D3s2,Ancient Salvage,,
Cartesian Temporal Coordinator,301,7236.21,2016-06-20,D3s2,Ancient Salvage,,
Cartesian Temporal Coordinator,36,7236.21,2016-06-20,JamguSubs2,Ancient Salvage,,
Cartesian Temporal Coordinator,129,7771.08,2016-06-30,JamguSubs2,Ancient Salvage,,
Cartesian Temporal Coordinator,54,7771.08,2016-06-30,JamguSubs2,Ancient Salvage,,
Cartesian Temporal Coordinator,346,8702.07,2016-07-02,JamguSubs2,Ancient Salvage,,
Cartesian Temporal Coordinator,4,8269.75,2016-07-04,JamguHull1,Ancient Salvage,,
Cartesian Temporal Coordinator,19,10400.00,2016-07-04,JamguHull1,Ancient Salvage,,
Cartesian Temporal Coordinator,4,8704.02,2016-07-04,JamguHull1,Ancient Salvage,,
Cartesian Temporal Coordinator,79,9661.53,2016-07-04,JamguHull1,Ancient Salvage,,
Central System Controller,8,30001.45,2016-03-30,Svipul1,Ancient Salvage,,
Central System Controller,51,34001.61,2016-03-30,Svipul1,Ancient Salvage,,
Central System Controller,21,34876.00,2016-03-30,Svipul1,Ancient Salvage,,
Central System Controller,11,32707.25,2016-04-07,Svipul2,Ancient Salvage,,
Central System Controller,49,39999.30,2016-04-09,Svipul2,Ancient Salvage,,
Central System Controller,10,32822.86,2016-04-16,Svipul3,Ancient Salvage,,
Central System Controller,30,39700.00,2016-04-16,Svipul3,Ancient Salvage,,
Central System Controller,12,36109.00,2016-04-28,Confessor1,Ancient Salvage,,
Central System Controller,1,36109.00,2016-04-28,Confessor1,Ancient Salvage,,
Central System Controller,27,45595.98,2016-04-30,Confessor1,Ancient Salvage,,
Central System Controller,7,36251.26,2016-05-05,D3s1,Ancient Salvage,,
Central System Controller,63,44994.00,2016-05-05,D3s1,Ancient Salvage,,
Central System Controller,34,36555.11,2016-05-10,D3s2,Ancient Salvage,,
Central System Controller,1,36555.11,2016-05-10,D3s2,Ancient Salvage,,
Central System Controller,154,36555.12,2016-05-14,LegionHull1,Ancient Salvage,,
Central System Controller,13,44998.00,2016-05-15,D3s2,Ancient Salvage,,
Central System Controller,19,44998.00,2016-05-15,LegionHull1,Ancient Salvage,,
Central System Controller,1,36555.30,2016-05-17,D3s2,Ancient Salvage,,
Central System Controller,5,38162.02,2016-05-23,D3s2,Ancient Salvage,,
Central System Controller,32,36556.00,2016-06-14,D3s2,Ancient Salvage,,
Central System Controller,54,37149.75,2016-06-20,D3s2,Ancient Salvage,,
Central System Controller,23,37149.75,2016-06-20,JamguHull1,Ancient Salvage,,
Central System Controller,70,40478.98,2016-06-30,JamguHull1,Ancient Salvage,,
Central System Controller,123,40478.98,2016-06-30,JamguHull1,Ancient Salvage,,
Central System Controller,13,40478.98,2016-06-30,,Ancient Salvage,,
Central System Controller,4,40511.88,2016-07-04,,Ancient Salvage,,
Central System Controller,5,52000.00,2016-07-04,,Ancient Salvage,,
Defensive Control Node,8,24001.01,2016-03-30,Svipul1,Ancient Salvage,,
Defensive Control Node,61,24007.10,2016-03-30,Svipul1,Ancient Salvage,,
Defensive Control Node,11,24799.00,2016-03-30,Svipul1,Ancient Salvage,,
Defensive Control Node,17,24400.03,2016-04-07,Svipul2,Ancient Salvage,,
Defensive Control Node,42,27390.00,2016-04-09,Svipul2,Ancient Salvage,,
Defensive Control Node,1,27390.00,2016-04-09,Svipul2,Ancient Salvage,,
Defensive Control Node,19,24001.01,2016-04-16,Svipul3,Ancient Salvage,,
Defensive Control Node,21,24479.00,2016-04-16,Svipul3,Ancient Salvage,,
Defensive Control Node,12,18532.24,2016-04-28,Confessor1,Ancient Salvage,,
Defensive Control Node,18,21885.89,2016-04-30,Confessor1,Ancient Salvage,,
Defensive Control Node,10,21885.89,2016-04-30,Confessor1,Ancient Salvage,,
Defensive Control Node,54,21733.00,2016-05-05,D3s1,Ancient Salvage,,
Defensive Control Node,16,21733.00,2016-05-05,D3s1,Ancient Salvage,,
Defensive Control Node,28,15000.00,2016-05-10,D3s2,Ancient Salvage,,
Defensive Control Node,2,15000.00,2016-05-10,D3s2,Ancient Salvage,,
Defensive Control Node,164,18200.01,2016-05-14,LegionHull1,Ancient Salvage,,
Defensive Control Node,13,19999.00,2016-05-15,D3s2,Ancient Salvage,,
Defensive Control Node,9,19999.00,2016-05-15,LegionHull1,Ancient Salvage,,
Defensive Control Node,5,16505.32,2016-05-17,D3s2,Ancient Salvage,,
Defensive Control Node,2,17516.73,2016-05-23,D3s2,Ancient Salvage,,
Defensive Control Node,22,14552.00,2016-06-14,D3s2,Ancient Salvage,,
Defensive Control Node,68,39934.20,2016-06-20,D3s2,Ancient Salvage,,
Defensive Control Node,53,39934.20,2016-06-20,JamguHull1,Ancient Salvage,,
Defensive Control Node,95,42001.95,2016-06-30,JamguHull1,Ancient Salvage,,
Defensive Control Node,23,42001.95,2016-06-30,JamguHull1,Ancient Salvage,,
Defensive Control Node,3,42075.50,2016-07-04,JamguHull1,Ancient Salvage,,
Defensive Control Node,2,63000.00,2016-07-04,JamguHull1,Ancient Salvage,,
Defensive Control Node,40,44300.03,2016-07-04,JamguHull1,Ancient Salvage,,
Electromechanical Hull Sheeting,2340,1893.26,2016-03-30,Svipul1,Ancient Salvage,,
Electromechanical Hull Sheeting,36,1893.26,2016-03-30,Svipul1,Ancient Salvage,,
Electromechanical Hull Sheeting,659,2098.00,2016-03-30,Svipul1,Ancient Salvage,,
Electromechanical Hull Sheeting,61,2098.00,2016-03-30,TenguCovert1,Ancient Salvage,,
Electromechanical Hull Sheeting,924,2516.00,2016-04-05,TenguCovert1,Ancient Salvage,,
Electromechanical Hull Sheeting,333,2516.00,2016-04-05,TenguCovert1,Ancient Salvage,,
Electromechanical Hull Sheeting,294,2516.00,2016-04-05,TenguCovert1,Ancient Salvage,,
Electromechanical Hull Sheeting,18,4025.00,2016-04-07,Svipul2,Ancient Salvage,,
Electromechanical Hull Sheeting,237,2516.00,2016-04-07,TenguCovert1,Ancient Salvage,,
Electromechanical Hull Sheeting,111,4025.00,2016-04-07,TenguCovert1,Ancient Salvage,,
Electromechanical Hull Sheeting,140,2665.08,2016-04-09,Svipul2,Ancient Salvage,,
Electromechanical Hull Sheeting,2283,3499.98,2016-04-09,Svipul2,Ancient Salvage,,
Electromechanical Hull Sheeting,30,3499.98,2016-04-09,Svipul2,Ancient Salvage,,
Electromechanical Hull Sheeting,1571,2854.45,2016-04-16,Svipul3,Ancient Salvage,,
Electromechanical Hull Sheeting,231,2954.00,2016-04-16,Svipul3,Ancient Salvage,,
Electromechanical Hull Sheeting,2190,3250.00,2016-04-17,LegionCrystal1,Ancient Salvage,,
Electromechanical Hull Sheeting,597,2858.02,2016-04-28,LegionAssault1,Ancient Salvage,,
Electromechanical Hull Sheeting,316,2858.02,2016-04-28,LegionAssault1,Ancient Salvage,,
Electromechanical Hull Sheeting,656,2879.99,2016-04-28,LegionAssault1,Ancient Salvage,,
Electromechanical Hull Sheeting,55,2879.99,2016-04-28,LegionAssault1,Ancient Salvage,,
Electromechanical Hull Sheeting,1837,2749.99,2016-04-30,Confessor1,Ancient Salvage,,
Electromechanical Hull Sheeting,139,1698.89,2016-05-05,D3s1,Ancient Salvage,,
Electromechanical Hull Sheeting,2790,2586.92,2016-05-05,D3s1,Ancient Salvage,,
Electromechanical Hull Sheeting,4095,1897.00,2016-05-08,LegionEng1,Ancient Salvage,,
Electromechanical Hull Sheeting,2171,1985.10,2016-05-10,LegionElec1,Ancient Salvage,,
Electromechanical Hull Sheeting,1585,1985.10,2016-05-10,LegionElec1,Ancient Salvage,,
Electromechanical Hull Sheeting,304,1985.10,2016-05-10,LegionElec1,Ancient Salvage,,
Electromechanical Hull Sheeting,2057,1715.99,2016-05-14,LegionHull1,Ancient Salvage,,
Electromechanical Hull Sheeting,449,1732.39,2016-05-17,LegionDO1,Ancient Salvage,,
Electromechanical Hull Sheeting,369,1732.39,2016-05-17,LegionDO1,Ancient Salvage,,
Electromechanical Hull Sheeting,436,1815.16,2016-05-23,LegionDO1,Ancient Salvage,,
Electromechanical Hull Sheeting,2727,2238.97,2016-05-23,LegionDO1,Ancient Salvage,,
Electromechanical Hull Sheeting,65,1825.95,2016-06-10,D3s2,Ancient Salvage,,
Electromechanical Hull Sheeting,1361,1935.61,2016-06-14,LegionProp1,Ancient Salvage,,
Electromechanical Hull Sheeting,2646,2677.92,2016-06-14,LegionProp1,Ancient Salvage,,
Electromechanical Hull Sheeting,5706,2099.88,2016-06-20,D3s2,Ancient Salvage,,
Electromechanical Hull Sheeting,298,2814.00,2016-06-21,D3s2,Ancient Salvage,,
Electromechanical Hull Sheeting,3695,2295.21,2016-06-30,JamguSubs1,Ancient Salvage,,
Electromechanical Hull Sheeting,2433,2295.21,2016-06-30,JamguSubs2,Ancient Salvage,,
Electromechanical Hull Sheeting,224,3187.00,2016-07-01,JamguSubs1,Ancient Salvage,,
Electromechanical Hull Sheeting,1387,2415.06,2016-07-02,JamguSubs2,Ancient Salvage,,
Electromechanical Hull Sheeting,150,2415.06,2016-07-02,JamguSubs2,Ancient Salvage,,
Electromechanical Hull Sheeting,181,2415.06,2016-07-02,JamguSubs2,Ancient Salvage,,
Electromechanical Hull Sheeting,203,2415.06,2016-07-02,JamguSubs2,Ancient Salvage,,
Electromechanical Hull Sheeting,385,2415.06,2016-07-02,JamguSubs2,Ancient Salvage,,
Electromechanical Hull Sheeting,505,2415.06,2016-07-02,JamguSubs2,Ancient Salvage,,
Electromechanical Hull Sheeting,600,2415.06,2016-07-02,JamguSubs2,Ancient Salvage,,
Electromechanical Hull Sheeting,213,1643.68,2016-07-04,JamguHull1,Ancient Salvage,,
Electromechanical Hull Sheeting,689,2400.00,2016-07-04,JamguHull1,Ancient Salvage,,
Electromechanical Hull Sheeting,219,1730.38,2016-07-04,JamguHull1,Ancient Salvage,,
Electromechanical Hull Sheeting,2737,2706.13,2016-07-04,JamguHull1,Ancient Salvage,,
Emergent Combat Analyzer,84,38207.87,2016-03-30,Svipul1,Ancient Salvage,,
Emergent Combat Analyzer,11,38207.87,2016-03-30,Svipul1,Ancient Salvage,,
Emergent Combat Analyzer,82,46577.00,2016-03-30,Svipul1,Ancient Salvage,,
Emergent Combat Analyzer,3,46577.00,2016-03-30,TenguCovert1,Ancient Salvage,,
Emergent Combat Analyzer,25,38207.00,2016-04-05,TenguCovert1,Ancient Salvage,,
Emergent Combat Analyzer,19,38207.00,2016-04-05,TenguCovert1,Ancient Salvage,,
Emergent Combat Analyzer,10,38207.00,2016-04-05,TenguCovert1,Ancient Salvage,,
Emergent Combat Analyzer,5,38209.51,2016-04-07,TenguCovert1,Ancient Salvage,,
Emergent Combat Analyzer,538,41970.53,2016-04-07,TenguCovert1,Ancient Salvage,,
Emergent Combat Analyzer,5,38355.32,2016-04-09,Svipul2,Ancient Salvage,,
Emergent Combat Analyzer,57,45867.99,2016-04-09,Svipul2,Ancient Salvage,,
Emergent Combat Analyzer,33,45867.99,2016-04-09,Svipul2,Ancient Salvage,,
Emergent Combat Analyzer,31,45867.99,2016-04-09,Svipul2,Ancient Salvage,,
Emergent Combat Analyzer,5,45867.99,2016-04-09,Svipul2,Ancient Salvage,,
Emergent Combat Analyzer,5,45867.99,2016-04-09,Svipul2,Ancient Salvage,,
Emergent Combat Analyzer,3,45867.99,2016-04-09,Svipul2,Ancient Salvage,,
Emergent Combat Analyzer,2,45867.99,2016-04-09,Svipul2,Ancient Salvage,,
Emergent Combat Analyzer,1,45867.99,2016-04-09,Svipul2,Ancient Salvage,,
Emergent Combat Analyzer,40,33558.30,2016-04-16,Svipul3,Ancient Salvage,,
Emergent Combat Analyzer,41,38254.00,2016-04-16,Svipul3,Ancient Salvage,,
Emergent Combat Analyzer,21,38254.00,2016-04-16,Svipul3,Ancient Salvage,,
Emergent Combat Analyzer,4,38254.00,2016-04-16,Svipul3,Ancient Salvage,,
Emergent Combat Analyzer,600,38241.40,2016-04-17,LegionCrystal1,Ancient Salvage,,
Emergent Combat Analyzer,15,26999.00,2016-04-28,LegionAssault1,Ancient Salvage,,
Emergent Combat Analyzer,4,26999.00,2016-04-28,LegionAssault1,Ancient Salvage,,
Emergent Combat Analyzer,239,39899.00,2016-04-28,LegionAssault1,Ancient Salvage,,
Emergent Combat Analyzer,214,39899.00,2016-04-28,LegionAssault1,Ancient Salvage,,
Emergent Combat Analyzer,42,39899.00,2016-04-28,LegionAssault1,Ancient Salvage,,
Emergent Combat Analyzer,10,39899.00,2016-04-28,LegionAssault1,Ancient Salvage,,
Emergent Combat Analyzer,6,39899.00,2016-04-28,LegionAssault1,Ancient Salvage,,
Emergent Combat Analyzer,103,34999.00,2016-04-30,Confessor1,Ancient Salvage,,
Emergent Combat Analyzer,39,34999.00,2016-04-30,Confessor1,Ancient Salvage,,
Emergent Combat Analyzer,7,27320.56,2016-05-05,D3s1,Ancient Salvage,,
Emergent Combat Analyzer,63,30000.00,2016-05-05,D3s1,Ancient Salvage,,
Emergent Combat Analyzer,57,30000.00,2016-05-05,D3s1,Ancient Salvage,,
Emergent Combat Analyzer,26,30000.00,2016-05-05,D3s1,Ancient Salvage,,
Emergent Combat Analyzer,11,30000.00,2016-05-05,D3s1,Ancient Salvage,,
Emergent Combat Analyzer,10,30000.00,2016-05-05,D3s1,Ancient Salvage,,
Emergent Combat Analyzer,3,30000.00,2016-05-05,D3s1,Ancient Salvage,,
Emergent Combat Analyzer,91,27345.32,2016-05-10,LegionDO1,Ancient Salvage,,
Emergent Combat Analyzer,14,27345.32,2016-05-10,LegionDO1,Ancient Salvage,,
Emergent Combat Analyzer,19,26001.31,2016-05-17,LegionDO1,Ancient Salvage,,
Emergent Combat Analyzer,3,26001.31,2016-05-17,LegionDO1,Ancient Salvage,,
Emergent Combat Analyzer,20,31003.78,2016-05-23,LegionDO1,Ancient Salvage,,
Emergent Combat Analyzer,391,49999.00,2016-05-23,LegionDO1,Ancient Salvage,,
Emergent Combat Analyzer,8,49999.00,2016-05-23,LegionDO1,Ancient Salvage,,
Emergent Combat Analyzer,7,49999.00,2016-05-23,LegionDO1,Ancient Salvage,,
Emergent Combat Analyzer,5,49999.00,2016-05-23,LegionDO1,Ancient Salvage,,
Emergent Combat Analyzer,4,49999.00,2016-05-23,LegionDO1,Ancient Salvage,,
Emergent Combat Analyzer,2,49999.00,2016-05-23,LegionDO1,Ancient Salvage,,
Emergent Combat Analyzer,1,49999.00,2016-05-23,LegionDO1,Ancient Salvage,,
Emergent Combat Analyzer,353,39047.92,2016-06-20,D3s2,Ancient Salvage,,
Emergent Combat Analyzer,5,39047.92,2016-06-20,JamguSubs2,Ancient Salvage,,
Emergent Combat Analyzer,157,39930.40,2016-06-30,JamguSubs2,Ancient Salvage,,
Emergent Combat Analyzer,143,39930.40,2016-06-30,JamguSubs2,Ancient Salvage,,
Emergent Combat Analyzer,72,42036.02,2016-07-02,JamguHull1,Ancient Salvage,,
Emergent Combat Analyzer,210,42036.02,2016-07-02,JamguSubs2,Ancient Salvage,,
Emergent Combat Analyzer,8,42036.02,2016-07-02,JamguSubs2,Ancient Salvage,,
Emergent Combat Analyzer,16,42036.02,2016-07-02,JamguSubs2,Ancient Salvage,,
Emergent Combat Analyzer,1,42036.02,2016-07-02,JamguSubs2,Ancient Salvage,,
Emergent Combat Analyzer,21,42036.02,2016-07-02,JamguSubs2,Ancient Salvage,,
Emergent Combat Analyzer,4,42036.02,2016-07-02,JamguSubs2,Ancient Salvage,,
Emergent Combat Analyzer,9,39934.26,2016-07-04,JamguHull1,Ancient Salvage,,
Emergent Combat Analyzer,22,47000.00,2016-07-04,JamguHull1,Ancient Salvage,,
Emergent Combat Analyzer,3,46784.96,2016-07-08,JamguHull1,Ancient Salvage,,
Emergent Combat Intelligence,8,28000.05,2016-03-30,Svipul1,Ancient Salvage,,
Emergent Combat Intelligence,63,29010.00,2016-03-30,Svipul1,Ancient Salvage,,
Emergent Combat Intelligence,9,36988.00,2016-03-30,Svipul1,Ancient Salvage,,
Emergent Combat Intelligence,22,40800.08,2016-04-07,Svipul2,Ancient Salvage,,
Emergent Combat Intelligence,36,62472.98,2016-04-09,Svipul2,Ancient Salvage,,
Emergent Combat Intelligence,2,62472.98,2016-04-09,Svipul2,Ancient Salvage,,
Emergent Combat Intelligence,12,40906.10,2016-04-16,Svipul3,Ancient Salvage,,
Emergent Combat Intelligence,20,45799.00,2016-04-16,Svipul3,Ancient Salvage,,
Emergent Combat Intelligence,8,45799.00,2016-04-16,Svipul3,Ancient Salvage,,
Emergent Combat Intelligence,9,28651.00,2016-04-28,Confessor1,Ancient Salvage,,
Emergent Combat Intelligence,2,28651.00,2016-04-28,Confessor1,Ancient Salvage,,
Emergent Combat Intelligence,21,32883.97,2016-04-30,Confessor1,Ancient Salvage,,
Emergent Combat Intelligence,8,32883.97,2016-04-30,Confessor1,Ancient Salvage,,
Emergent Combat Intelligence,5,28603.01,2016-05-05,D3s1,Ancient Salvage,,
Emergent Combat Intelligence,65,29499.88,2016-05-05,D3s1,Ancient Salvage,,
Emergent Combat Intelligence,34,28603.02,2016-05-10,D3s2,Ancient Salvage,,
Emergent Combat Intelligence,2,28603.02,2016-05-10,D3s2,Ancient Salvage,,
Emergent Combat Intelligence,157,24000.02,2016-05-14,LegionHull1,Ancient Salvage,,
Emergent Combat Intelligence,13,32880.02,2016-05-15,D3s2,Ancient Salvage,,
Emergent Combat Intelligence,16,32880.02,2016-05-15,LegionHull1,Ancient Salvage,,
Emergent Combat Intelligence,5,22001.28,2016-05-17,D3s2,Ancient Salvage,,
Emergent Combat Intelligence,4,22625.06,2016-05-23,D3s2,Ancient Salvage,,
Emergent Combat Intelligence,29,29000.00,2016-06-14,D3s2,Ancient Salvage,,
Emergent Combat Intelligence,53,30591.90,2016-06-20,D3s2,Ancient Salvage,,
Emergent Combat Intelligence,34,30591.90,2016-06-20,JamguHull1,Ancient Salvage,,
Emergent Combat Intelligence,67,33269.98,2016-06-30,JamguHull1,Ancient Salvage,,
Emergent Combat Intelligence,67,33269.98,2016-06-30,JamguHull1,Ancient Salvage,,
Emergent Combat Intelligence,3,33383.01,2016-07-04,JamguHull1,Ancient Salvage,,
Emergent Combat Intelligence,5,40000.00,2016-07-04,JamguHull1,Ancient Salvage,,
Emergent Combat Intelligence,40,35160.02,2016-07-04,JamguHull1,Ancient Salvage,,
Fullerene Intercalated Graphite,345,7499.00,2016-04-16,Svipul3,Ancient Salvage,,
Fullerene Intercalated Graphite,1070,7449.93,2016-04-28,LegionAssault1,Ancient Salvage,,
Fullerene Intercalated Graphite,210,7449.93,2016-04-28,LegionAssault1,Ancient Salvage,,
Fullerene Intercalated Graphite,194,7449.93,2016-04-28,LegionAssault1,Ancient Salvage,,
Fullerene Intercalated Graphite,575,7446.90,2016-05-05,D3s1,Ancient Salvage,,
Fulleroferrocene,14141,2116.00,2016-04-16,Svipul3,Ancient Salvage,,
Fulleroferrocene,24248,2298.00,2016-05-05,D3s1,Ancient Salvage,,
Fused Nanomechanical Engines,172,21815.19,2016-03-30,Svipul1,Ancient Salvage,,
Fused Nanomechanical Engines,5,24597.00,2016-03-30,Svipul1,Ancient Salvage,,
Fused Nanomechanical Engines,3,24597.00,2016-03-30,Svipul2,Ancient Salvage,,
Fused Nanomechanical Engines,37,17100.09,2016-04-07,Svipul2,Ancient Salvage,,
Fused Nanomechanical Engines,85,16989.98,2016-04-09,Svipul2,Ancient Salvage,,
Fused Nanomechanical Engines,12,16989.98,2016-04-09,Svipul2,Ancient Salvage,,
Fused Nanomechanical Engines,1,16989.98,2016-04-09,Svipul2,Ancient Salvage,,
Fused Nanomechanical Engines,4,17104.60,2016-04-09,Svipul2,Ancient Salvage,,
Fused Nanomechanical Engines,31,17359.99,2016-04-16,Svipul3,Ancient Salvage,,
Fused Nanomechanical Engines,58,20943.00,2016-04-16,Svipul3,Ancient Salvage,,
Fused Nanomechanical Engines,17,20943.00,2016-04-16,Svipul3,Ancient Salvage,,
Fused Nanomechanical Engines,47,19563.70,2016-04-28,Confessor1,Ancient Salvage,,
Fused Nanomechanical Engines,3,19563.70,2016-04-28,Confessor1,Ancient Salvage,,
Fused Nanomechanical Engines,20,19886.00,2016-04-30,Confessor1,Ancient Salvage,,
Fused Nanomechanical Engines,1,19886.00,2016-04-30,Confessor1,Ancient Salvage,,
Fused Nanomechanical Engines,2,19501.04,2016-05-05,D3s1,Ancient Salvage,,
Fused Nanomechanical Engines,175,19998.77,2016-05-05,D3s1,Ancient Salvage,,
Fused Nanomechanical Engines,1200,19501.00,2016-05-08,LegionEng1,Ancient Salvage,,
Fused Nanomechanical Engines,104,17350.00,2016-05-10,D3s2,Ancient Salvage,,
Fused Nanomechanical Engines,6,17350.00,2016-05-10,D3s2,Ancient Salvage,,
Fused Nanomechanical Engines,26,15008.88,2016-05-17,D3s2,Ancient Salvage,,
Fused Nanomechanical Engines,3,15008.88,2016-05-17,D3s2,Ancient Salvage,,
Fused Nanomechanical Engines,4,15101.43,2016-05-23,D3s2,Ancient Salvage,,
Fused Nanomechanical Engines,2,14580.90,2016-06-10,D3s2,Ancient Salvage,,
Fused Nanomechanical Engines,208,14631.92,2016-06-20,D3s2,Ancient Salvage,,
Fused Nanomechanical Engines,50,14631.92,2016-06-20,JamguSubs1,Ancient Salvage,,
Fused Nanomechanical Engines,51,14766.80,2016-06-30,JamguHull1,Ancient Salvage,,
Fused Nanomechanical Engines,134,14766.80,2016-06-30,JamguSubs1,Ancient Salvage,,
Fused Nanomechanical Engines,129,18873.00,2016-07-01,JamguSubs1,Ancient Salvage,,
Fused Nanomechanical Engines,142,18873.00,2016-07-01,JamguSubs1,Ancient Salvage,,
Fused Nanomechanical Engines,75,18873.00,2016-07-01,JamguSubs1,Ancient Salvage,,
Fused Nanomechanical Engines,1,14782.61,2016-07-04,JamguHull1,Ancient Salvage,,
Fused Nanomechanical Engines,15,19000.00,2016-07-04,JamguHull1,Ancient Salvage,,
Fused Nanomechanical Engines,6,15560.69,2016-07-04,JamguHull1,Ancient Salvage,,
Fused Nanomechanical Engines,33,16775.93,2016-07-04,JamguHull1,Ancient Salvage,,
Graphene Nanoribbons,1192,35075.00,2016-04-16,Svipul3,Ancient Salvage,,
Graphene Nanoribbons,82,35075.00,2016-04-16,Svipul3,Ancient Salvage,,
Graphene Nanoribbons,927,33499.99,2016-04-28,LegionAssault1,Ancient Salvage,,
Graphene Nanoribbons,2163,29000.00,2016-05-05,D3s1,Ancient Salvage,,
Heuristic Selfassemblers,142,48011.46,2016-03-30,Svipul1,Ancient Salvage,,
Heuristic Selfassemblers,2,48011.46,2016-03-30,Svipul2,Ancient Salvage,,
Heuristic Selfassemblers,40,45746.14,2016-04-07,Svipul2,Ancient Salvage,,
Heuristic Selfassemblers,4,45742.86,2016-04-09,Svipul2,Ancient Salvage,,
Heuristic Selfassemblers,57,46397.84,2016-04-09,Svipul2,Ancient Salvage,,
Heuristic Selfassemblers,3,46397.84,2016-04-09,Svipul2,Ancient Salvage,,
Heuristic Selfassemblers,49,45708.06,2016-04-16,Svipul3,Ancient Salvage,,
Heuristic Selfassemblers,22,47389.00,2016-04-16,Svipul3,Ancient Salvage,,
Heuristic Selfassemblers,35,36908.00,2016-04-28,Confessor1,Ancient Salvage,,
Heuristic Selfassemblers,4,36908.00,2016-04-28,Confessor1,Ancient Salvage,,
Heuristic Selfassemblers,32,39940.00,2016-04-30,Confessor1,Ancient Salvage,,
Heuristic Selfassemblers,124,35998.00,2016-05-05,D3s1,Ancient Salvage,,
Heuristic Selfassemblers,90,22026.01,2016-05-10,LegionDO1,Ancient Salvage,,
Heuristic Selfassemblers,10,22026.01,2016-05-10,LegionDO1,Ancient Salvage,,
Heuristic Selfassemblers,10,24124.45,2016-05-17,LegionDO1,Ancient Salvage,,
Heuristic Selfassemblers,5,24124.45,2016-05-17,LegionDO1,Ancient Salvage,,
Heuristic Selfassemblers,10,27006.00,2016-05-23,LegionDO1,Ancient Salvage,,
Heuristic Selfassemblers,475,39923.00,2016-05-23,LegionDO1,Ancient Salvage,,
Heuristic Selfassemblers,247,28881.91,2016-06-20,D3s2,Ancient Salvage,,
Heuristic Selfassemblers,58,28881.91,2016-06-20,JamguSubs1,Ancient Salvage,,
Heuristic Selfassemblers,45,29704.09,2016-06-30,JamguHull1,Ancient Salvage,,
Heuristic Selfassemblers,83,29704.09,2016-06-30,JamguSubs1,Ancient Salvage,,
Heuristic Selfassemblers,267,148898.85,2016-07-01,JamguSubs1,Ancient Salvage,,
Heuristic Selfassemblers,32,148898.85,2016-07-01,JamguSubs1,Ancient Salvage,,
Heuristic Selfassemblers,73,148898.85,2016-07-01,JamguSubs1,Ancient Salvage,,
Heuristic Selfassemblers,87,148898.85,2016-07-01,JamguSubs1,Ancient Salvage,,
Heuristic Selfassemblers,7,33653.81,2016-07-04,JamguHull1,Ancient Salvage,,
Heuristic Selfassemblers,1,51000.00,2016-07-04,JamguHull1,Ancient Salvage,,
Heuristic Selfassemblers,19,51000.00,2016-07-04,,Ancient Salvage,,
Jump Drive Control Nexus,8,15405.16,2016-03-30,Svipul1,Ancient Salvage,,
Jump Drive Control Nexus,72,21500.03,2016-03-30,Svipul1,Ancient Salvage,,
Jump Drive Control Nexus,11,20000.22,2016-04-07,Svipul2,Ancient Salvage,,
Jump Drive Control Nexus,48,20999.99,2016-04-09,Svipul2,Ancient Salvage,,
Jump Drive Control Nexus,1,20999.99,2016-04-09,Svipul2,Ancient Salvage,,
Jump Drive Control Nexus,18,20606.02,2016-04-16,Svipul3,Ancient Salvage,,
